"ST13: ELANIKE KESKMINE AASTA EKVIVALENTNETOSISSETULEK | Vanuserühm, Vaatlusperiood, Näitaja ning Sugu"

"Vanuserühm","Vaatlusperiood","Elanike keskmine aasta ekvivalentnetosissetulek, eurot Kokku"
"25 kuni 34 aastat","2004",4567.70
"25 kuni 34 aastat","2005",5749.81
"25 kuni 34 aastat","2006",6946.24
"25 kuni 34 aastat","2007",8260.64
"25 kuni 34 aastat","2008",9328.48
"25 kuni 34 aastat","2009",8527.35
"25 kuni 34 aastat","2010",7961.99
"25 kuni 34 aastat","2011",8562.32
"25 kuni 34 aastat","2012",10236.41
"25 kuni 34 aastat","2013",10677.27
"25 kuni 34 aastat","2014",11225.13
"25 kuni 34 aastat","2015",11841.41
"25 kuni 34 aastat","2016",12590.44
"25 kuni 34 aastat","2017",13646.53
"25 kuni 34 aastat","2018",14890.19
"25 kuni 34 aastat","2019",16113.77
"25 kuni 34 aastat","2020",17380.28
"25 kuni 34 aastat","2021",20425.50
"25 kuni 34 aastat","2022",20509.44
"25 kuni 34 aastat","2023",21129.17
